step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
168,2778.01,104.909,0.217347,-0.0632804,0.244361,59.7455,2.446,0.0,-0.03177847533771501,0.88,0.0,3
169,2778.65,105.806,0.24,-0.0608562,0.252646,61.4412,2.468,0.0,-0.03190312558742055,0.88,0.0,3
170,2779.3,106.702,0.261282,-0.0583981,0.260709,63.3336,2.49,0.0,-0.03187990489373903,0.88,0.0,3
171,2779.95,107.596,0.280494,-0.0559166,0.26854,65.4405,2.512,0.0,-0.03175523580305706,0.88,0.0,3
172,2780.61,108.489,0.297585,-0.0534175,0.276126,67.7885,2.534,0.0,-0.03153459081100208,0.88,0.0,3
173,2781.28,109.381,0.315024,-0.0509294,0.283462,70.3766,2.556,0.0,-0.031201762463652735,0.88,0.0,3
174,2781.95,110.271,0.327366,-0.0484589,0.290539,73.231,2.578,0.0,-0.03076506470307876,0.88,0.0,3
175,2782.62,111.16,0.339592,-0.046016,0.297354,76.3749,2.6,0.0,-0.03020523833858554,0.88,0.0,3
176,2783.31,112.047,0.347218,-0.0435985,0.303903,79.8558,2.622,0.0,-0.029537576491805582,0.88,0.0,3
177,2783.99,112.932,0.355543,-0.0412129,0.310177,83.714,2.644,0.0,-0.02875114079368503,0.88,0.0,3
178,2784.69,113.816,0.362268,-0.0388811,0.316179,87.9595,2.666,0.0,-0.0278675888104409,0.88,0.0,3
179,2785.38,114.699,0.366709,-0.0366133,0.32191,92.6223,2.688,0.0,-0.02689640877583555,0.88,0.0,3
180,2786.09,115.58,0.368873,-0.0344146,0.327373,97.6379,2.71,0.0,-0.025843939352951924,0.88,0.0,3
181,2786.8,116.459,0.368983,-0.0322874,0.332567,99.6431,2.732,0.0,-0.02471670641871418,0.88,0.0,3
182,2787.51,117.337,0.365078,-0.030207,0.337492,100.593,2.754,0.0,-0.024605538838554708,0.88,0.0,3
183,2788.23,118.214,0.363428,-0.0281699,0.342152,101.18,2.776,0.0,-0.02394558082208655,0.88,0.0,3
184,2788.95,119.089,0.361601,-0.0261954,0.346553,101.545,2.798,0.0,-0.02290622585156551,0.88,0.0,3
185,2789.68,119.962,0.358672,-0.0242913,0.350694,101.756,2.82,0.0,-0.02161291459268964,0.88,0.0,3
186,2790.42,120.834,0.356631,-0.0224894,0.354588,101.836,2.842,0.0,-0.020133989873949407,0.88,0.0,3
187,2791.16,121.763,0.358228,-0.0207689,0.35824,101.819,2.864,0.0,-0.018538155636285136,1.0,0.0,3
188,2791.91,122.706,0.365815,-0.0191057,0.361676,101.73,2.886,0.0,-0.01699005483196369,0.88,0.0,3
189,2792.66,123.593,0.355228,-0.0175956,0.364892,101.544,2.908,0.0,-0.015537781125861001,0.88,0.0,3
190,2793.42,124.522,0.346232,-0.016228,0.367892,101.275,2.93,0.0,-0.01404903935730751,1.0,0.0,3
191,2794.18,125.46,0.336511,-0.0149472,0.370702,100.952,2.952,0.0,-0.01277023638444097,0.88,0.0,3
192,2794.95,125.781,0.290019,-0.0138648,0.373305,100.544,2.974,0.0,-0.0119255068234533,0.88,0.0,4
193,2795.72,125.669,0.2351,-0.0129545,0.375689,100.07,2.996,0.0,-0.010867898318390972,1.0,0.0,4
194,2796.49,125.568,0.197712,-0.0120776,0.37788,99.5794,3.018,0.0,-0.009591376839062119,0.7941604631109895,0.0,4
195,2797.25,124.788,0.183212,-0.0112627,0.3799,99.0659,3.04,0.0,-0.008289858349835226,0.0,0.3,4
196,2798.01,123.265,0.185862,-0.0105489,0.381779,98.5235,3.062,0.0,-0.0067980551746794505,0.0,0.6,3
197,2798.76,121.414,0.187435,-0.0100353,0.383549,97.9274,3.084,0.0,-0.005424964733460602,0.0,0.62,3
198,2799.49,119.423,0.179503,-0.00968248,0.385225,97.2933,3.106,0.0,-0.004107076614589215,0.0,0.62,3
199,2800.22,117.318,0.172303,-0.00938398,0.386817,96.6547,3.128,0.0,-0.0027628228296418,0.0,0.62,3
200,2800.93,115.184,0.168094,-0.00911886,0.38834,96.0185,3.15,0.0,-0.0013873810213236553,0.0,0.62,3
201,2801.62,113.055,0.16212,-0.00889856,0.389799,95.3817,3.172,0.0,6.344732205186164e-06,0.0,0.62,3
202,2802.31,110.946,0.153895,-0.0087269,0.391196,94.7436,3.194,0.0,0.001430894723168015,0.0,0.62,3
203,2802.98,108.997,0.142181,-0.00860483,0.392542,94.1039,3.216,0.0,0.0028847878360963664,0.0,0.33999999999999997,3
204,2803.64,107.781,0.128907,-0.00853759,0.393839,93.4589,3.238,0.0,0.004354932516147193,0.0,0.05999999999999994,3
205,2804.3,107.728,0.111847,-0.00869066,0.395114,92.7563,3.26,0.0,0.005692235634959582,0.25,0.0,3
206,2804.96,108.063,0.0790995,-0.00903303,0.39639,92.001,3.282,0.0,0.006478041579092021,0.5,0.0,3
207,2805.62,108.695,0.052083,-0.00945598,0.39769,91.2208,3.304,0.0,0.0067846019746511475,0.75,0.0,3
208,2806.29,109.402,0.0284623,-0.00990945,0.399023,90.4287,3.326,0.0,0.006600315060574543,0.6965777003738721,0.0,3
209,2806.95,108.896,0.0115786,-0.0102847,0.400396,89.6572,3.348,0.0,0.0060063431706378735,0.0,0.3,3
210,2807.61,107.483,0.00130843,-0.0105417,0.401772,88.9255,3.37,0.0,0.005580968950752882,0.0,0.6,3
211,2808.27,105.717,-0.00658254,-0.0107134,0.403149,88.2277,3.392,0.0,0.005498009641228409,0.0,0.62,3
